change DP, A [2000, 2201], V=[1,5,10,25,50]
A=2000, m =(40, [0, 0, 0, 0, 40]), time=0.00313901901245
A=2005, m =(41, [0, 1, 0, 0, 40]), time=0.00308299064636
A=2010, m =(41, [0, 0, 1, 0, 40]), time=0.00311088562012
A=2015, m =(42, [0, 1, 1, 0, 40]), time=0.003084897995
A=2020, m =(42, [0, 0, 2, 0, 40]), time=0.00313901901245
A=2025, m =(41, [0, 0, 0, 1, 40]), time=0.00312900543213
A=2030, m =(42, [0, 1, 0, 1, 40]), time=0.00311398506165
A=2035, m =(42, [0, 0, 1, 1, 40]), time=0.00312113761902
A=2040, m =(43, [0, 1, 1, 1, 40]), time=0.00320100784302
A=2045, m =(43, [0, 0, 2, 1, 40]), time=0.00313305854797
A=2050, m =(41, [0, 0, 0, 0, 41]), time=0.00316095352173
A=2055, m =(42, [0, 1, 0, 0, 41]), time=0.00326609611511
A=2060, m =(42, [0, 0, 1, 0, 41]), time=0.00321888923645
A=2065, m =(43, [0, 1, 1, 0, 41]), time=0.00320100784302
A=2070, m =(43, [0, 0, 2, 0, 41]), time=0.00317692756653
A=2075, m =(42, [0, 0, 0, 1, 41]), time=0.00318884849548
A=2080, m =(43, [0, 1, 0, 1, 41]), time=0.00319385528564
A=2085, m =(43, [0, 0, 1, 1, 41]), time=0.00320196151733
A=2090, m =(44, [0, 1, 1, 1, 41]), time=0.00320315361023
A=2095, m =(44, [0, 0, 2, 1, 41]), time=0.00321388244629
A=2100, m =(42, [0, 0, 0, 0, 42]), time=0.00322604179382
A=2105, m =(43, [0, 1, 0, 0, 42]), time=0.00480604171753
A=2110, m =(43, [0, 0, 1, 0, 42]), time=0.00439715385437
A=2115, m =(44, [0, 1, 1, 0, 42]), time=0.00325107574463
A=2120, m =(44, [0, 0, 2, 0, 42]), time=0.00327110290527
A=2125, m =(43, [0, 0, 0, 1, 42]), time=0.00325894355774
A=2130, m =(44, [0, 1, 0, 1, 42]), time=0.00326895713806
A=2135, m =(44, [0, 0, 1, 1, 42]), time=0.00537991523743
A=2140, m =(45, [0, 1, 1, 1, 42]), time=0.0037579536438
A=2145, m =(45, [0, 0, 2, 1, 42]), time=0.00328993797302
A=2150, m =(43, [0, 0, 0, 0, 43]), time=0.00329804420471
A=2155, m =(44, [0, 1, 0, 0, 43]), time=0.00330495834351
A=2160, m =(44, [0, 0, 1, 0, 43]), time=0.00330996513367
A=2165, m =(45, [0, 1, 1, 0, 43]), time=0.00334000587463
A=2170, m =(45, [0, 0, 2, 0, 43]), time=0.00334692001343
A=2175, m =(44, [0, 0, 0, 1, 43]), time=0.00334787368774
A=2180, m =(45, [0, 1, 0, 1, 43]), time=0.00334286689758
A=2185, m =(45, [0, 0, 1, 1, 43]), time=0.00335001945496
A=2190, m =(46, [0, 1, 1, 1, 43]), time=0.00335597991943
A=2195, m =(46, [0, 0, 2, 1, 43]), time=0.00336694717407
A=2200, m =(44, [0, 0, 0, 0, 44]), time=0.00338888168335
