change DP, A [1, 21], V=[1,5,10,25,50]
A=1, m =([1, 0, 0, 0, 0], 1), time=1.90734863281e-05
A=2, m =([2, 0, 0, 0, 0], 2), time=1.59740447998e-05
A=3, m =([3, 0, 0, 0, 0], 3), time=1.90734863281e-05
A=4, m =([4, 0, 0, 0, 0], 4), time=3.09944152832e-05
A=5, m =([0, 1, 0, 0, 0], 1), time=3.09944152832e-05
A=6, m =([1, 1, 0, 0, 0], 2), time=3.50475311279e-05
A=7, m =([2, 1, 0, 0, 0], 3), time=4.38690185547e-05
A=8, m =([3, 1, 0, 0, 0], 4), time=4.00543212891e-05
A=9, m =([4, 1, 0, 0, 0], 5), time=2.71797180176e-05
A=10, m =([0, 0, 1, 0, 0], 1), time=2.69412994385e-05
A=11, m =([1, 0, 1, 0, 0], 2), time=3.40938568115e-05
A=12, m =([2, 0, 1, 0, 0], 3), time=3.69548797607e-05
A=13, m =([3, 0, 1, 0, 0], 4), time=3.88622283936e-05
A=14, m =([4, 0, 1, 0, 0], 5), time=3.69548797607e-05
A=15, m =([0, 1, 1, 0, 0], 2), time=3.81469726562e-05
A=16, m =([1, 1, 1, 0, 0], 3), time=3.88622283936e-05
A=17, m =([2, 1, 1, 0, 0], 4), time=7.31945037842e-05
A=18, m =([3, 1, 1, 0, 0], 5), time=7.9870223999e-05
A=19, m =([4, 1, 1, 0, 0], 6), time=8.20159912109e-05
A=20, m =([0, 0, 2, 0, 0], 2), time=6.19888305664e-05
