change greedy, A [2000, 2201], V=[1,5,10,25,50]
A=2000, m =40, time=1.90734863281e-05
A=2005, m =41, time=1.28746032715e-05
A=2010, m =41, time=1.19209289551e-05
A=2015, m =42, time=1.28746032715e-05
A=2020, m =42, time=1.09672546387e-05
A=2025, m =41, time=1.00135803223e-05
A=2030, m =42, time=1.19209289551e-05
A=2035, m =42, time=1.12056732178e-05
A=2040, m =43, time=1.21593475342e-05
A=2045, m =43, time=1.19209289551e-05
A=2050, m =41, time=9.05990600586e-06
A=2055, m =42, time=1.21593475342e-05
A=2060, m =42, time=1.09672546387e-05
A=2065, m =43, time=1.31130218506e-05
A=2070, m =43, time=1.09672546387e-05
A=2075, m =42, time=1.00135803223e-05
A=2080, m =43, time=1.19209289551e-05
A=2085, m =43, time=1.09672546387e-05
A=2090, m =44, time=1.19209289551e-05
A=2095, m =44, time=1.09672546387e-05
A=2100, m =42, time=9.05990600586e-06
A=2105, m =43, time=1.21593475342e-05
A=2110, m =43, time=2.19345092773e-05
A=2115, m =44, time=1.19209289551e-05
A=2120, m =44, time=1.19209289551e-05
A=2125, m =43, time=1.00135803223e-05
A=2130, m =44, time=1.09672546387e-05
A=2135, m =44, time=1.78813934326e-05
A=2140, m =45, time=1.8835067749e-05
A=2145, m =45, time=1.09672546387e-05
A=2150, m =43, time=1.00135803223e-05
A=2155, m =44, time=1.21593475342e-05
A=2160, m =44, time=1.09672546387e-05
A=2165, m =45, time=1.09672546387e-05
A=2170, m =45, time=1.12056732178e-05
A=2175, m =44, time=1.09672546387e-05
A=2180, m =45, time=1.19209289551e-05
A=2185, m =45, time=1.09672546387e-05
A=2190, m =46, time=1.19209289551e-05
A=2195, m =46, time=1.09672546387e-05
A=2200, m =44, time=9.05990600586e-06
