change greedy, A [1, 21], V=[1,5,10,25,50]
A=1, m =1, time=1.90734863281e-05
A=2, m =2, time=1.28746032715e-05
A=3, m =3, time=1.28746032715e-05
A=4, m =4, time=2.09808349609e-05
A=5, m =1, time=1.8835067749e-05
A=6, m =2, time=2.00271606445e-05
A=7, m =3, time=2.71797180176e-05
A=8, m =4, time=2.00271606445e-05
A=9, m =5, time=2.00271606445e-05
A=10, m =1, time=1.19209289551e-05
A=11, m =2, time=1.28746032715e-05
A=12, m =3, time=1.31130218506e-05
A=13, m =4, time=1.28746032715e-05
A=14, m =5, time=1.4066696167e-05
A=15, m =2, time=1.71661376953e-05
A=16, m =3, time=2.00271606445e-05
A=17, m =4, time=2.09808349609e-05
A=18, m =5, time=2.00271606445e-05
A=19, m =6, time=2.00271606445e-05
A=20, m =2, time=1.50203704834e-05
