change slow, A [1, 21], V=[1,5,10,25,50]
A=1, m =1, time=8.82148742676e-06
A=2, m =2, time=1.50203704834e-05
A=3, m =3, time=2.8133392334e-05
A=4, m =4, time=6.38961791992e-05
A=5, m =1, time=7.86781311035e-06
A=6, m =2, time=0.000180006027222
A=7, m =3, time=0.000476121902466
A=8, m =4, time=0.00139904022217
A=9, m =5, time=0.00411677360535
A=10, m =1, time=6.91413879395e-06
A=11, m =2, time=0.0100817680359
A=12, m =3, time=0.027074098587
A=13, m =4, time=0.0813689231873
A=14, m =5, time=0.243944883347
A=15, m =2, time=0.730852127075
A=16, m =3, time=2.19123482704
A=17, m =4, time=6.57572293282
A=18, m =5, time=19.6633179188
A=19, m =6, time=59.2406389713
A=20, m =2, time=178.292011976
