changegreedy, A=2000
30,5.29289245605e-05
32,3.50475311279e-05
34,3.19480895996e-05
36,5.60283660889e-05
38,5.79357147217e-05
40,4.79221343994e-05
42,6.8187713623e-05
44,4.29153442383e-05
46,6.79492950439e-05
48,6.91413879395e-05
50,7.79628753662e-05
52,7.10487365723e-05
54,5.3882598877e-05
56,7.89165496826e-05
58,7.9870223999e-05
60,4.38690185547e-05
62,8.60691070557e-05
64,5.60283660889e-05
66,9.08374786377e-05
68,5.91278076172e-05
70,9.70363616943e-05
72,8.41617584229e-05
74,8.48770141602e-05
76,0.000105142593384
78,4.50611114502e-05
80,0.00010085105896
82,0.000109910964966
84,0.00015115737915
86,9.58442687988e-05
88,0.000123977661133
90,0.000128030776978
92,5.60283660889e-05
94,0.000108957290649
96,0.000124931335449
98,0.000191926956177
100,0.000148057937622
102,8.41617584229e-05
104,0.000126838684082
106,0.0001540184021
108,0.000160932540894
110,0.000164031982422
112,0.000162124633789
114,0.000123023986816
116,0.000166177749634
118,0.000187873840332
120,0.000196218490601
122,0.000174045562744
124,0.000192165374756
126,5.50746917725e-05
128,0.000123023986816
130,0.000158071517944
132,0.000190019607544
134,0.000210046768188
136,0.000225067138672
138,0.00025486946106
140,0.000226020812988
142,0.000237941741943
144,7.10487365723e-05
146,0.0001540184021
148,0.000170946121216
150,0.000203132629395
152,0.000245809555054
154,0.00025200843811
156,0.000288009643555
158,0.000402927398682
160,0.000279188156128
162,0.000284910202026
164,0.000308990478516
166,0.000288963317871
168,0.000104904174805
170,0.000138998031616
172,0.000186920166016
174,0.000226020812988
176,0.000257015228271
178,0.000275850296021
180,0.00036096572876
182,0.000326871871948
184,0.000337839126587
186,0.000345945358276
188,0.000347137451172
190,0.000350952148438
192,0.000373125076294
194,0.000669956207275
196,0.000377893447876
198,0.000377893447876
200,0.000384092330933
202,0.000173091888428
204,0.000234842300415
206,0.000217914581299
208,0.000257968902588
210,0.000293016433716
212,0.000329971313477
214,0.000377893447876
216,0.000620126724243
218,0.000432968139648
220,0.000458002090454
222,0.000715017318726
224,0.000478982925415
226,0.00049901008606
228,0.000502109527588
230,0.000487089157104
232,0.000507116317749
234,0.000509977340698
236,0.000520944595337
238,0.000866889953613
240,0.000519037246704
242,0.000524044036865
244,0.000548124313354
246,0.000534057617188
248,0.000556945800781
250,0.000555992126465
252,0.000118970870972
254,0.000178098678589
256,0.000230073928833
258,0.000272989273071
260,0.000334978103638
262,0.00036096572876
264,0.000401020050049
266,0.000511169433594
268,0.00048303604126
270,0.00052285194397
272,0.000565052032471
274,0.000581979751587
276,0.000591993331909
278,0.000637054443359
280,0.000642061233521
282,0.000668048858643
284,0.00070595741272
286,0.000938892364502
288,0.000694990158081
290,0.000761985778809
292,0.000733137130737
294,0.000727891921997
296,0.000756978988647
298,0.000771999359131
300,0.000756025314331
302,0.00076699256897
304,0.000783920288086
306,0.000788927078247
308,0.000849008560181
310,0.00082802772522
312,0.000816106796265
314,0.00100517272949
316,0.000842094421387
318,0.000850915908813
320,0.00086784362793
322,0.000876903533936
324,0.000872135162354
326,0.00089693069458
328,0.000908136367798
330,0.000916004180908
332,0.00091814994812
334,0.000941038131714
336,0.000164985656738
338,0.000213861465454
340,0.000264883041382
342,0.000312805175781
344,0.000371932983398
346,0.000432968139648
348,0.000484943389893
350,0.000555992126465
352,0.000563859939575
354,0.000617027282715
356,0.000652074813843
358,0.000703096389771
360,0.000741004943848
362,0.000771045684814
364,0.000810146331787
366,0.000849008560181
368,0.000890016555786
370,0.000918865203857
372,0.000967025756836
374,0.000977993011475
376,0.00100779533386
